record,enterprise,metro,tract_pct_minority,tract_income_ratio,borrower_income_ratio,ltv,loan_purpose,fed_guarantee,borrower_race,borrower_gender,coborrower_race,coborrower gender,units,affordability
940710,1,1,3,3,3,1,1,4,5,5,2,1,1,4
718072,1,1,1,2,2,3,8,4,5,9,1,4,1,4
705295,1,1,2,3,3,3,1,4,5,5,1,2,1,4
71829,1,1,1,3,2,2,8,4,5,9,2,4,1,4
289983,1,1,2,2,3,1,8,4,5,9,3,4,1,4
1065441,1,0,3,2,3,4,1,4,5,5,1,2,1,4
1105626,1,1,1,3,3,4,1,4,9,9,9,4,1,4
895440,1,1,3,1,2,5,1,4,5,9,2,4,1,1
236362,1,1,3,2,3,5,1,4,2,9,1,4,1,4
1458691,1,1,2,2,3,2,1,4,5,5,1,2,1,4
910819,1,1,3,2,2,4,1,4,7,9,2,4,1,4
715728,1,1,3,1,2,1,8,4,5,5,2,2,1,1
1116214,1,0,1,2,3,1,8,4,5,5,1,2,1,4
654790,1,1,1,2,3,4,1,4,5,5,1,2,1,4
1557425,1,1,3,2,1,1,8,4,3,9,2,4,1,3
1550939,1,1,2,1,2,1,8,4,5,9,2,4,1,1
1629561,1,1,2,3,3,1,1,4,5,9,2,4,1,4
1445969,1,0,3,2,3,4,1,4,5,9,2,4,1,4
1550645,1,0,1,2,2,2,8,4,9,9,1,4,1,4
685772,1,1,1,1,2,2,8,4,5,5,1,2,1,1
392176,1,1,2,2,2,4,1,4,5,9,1,4,1,4
460729,1,1,3,3,3,3,1,4,5,9,1,4,1,4
407224,1,1,2,2,2,2,1,4,5,5,1,2,1,4
585124,1,1,2,3,1,1,1,4,5,5,1,2,1,3
1211041,1,1,3,2,3,1,8,4,5,5,2,1,1,4
541212,1,1,2,3,3,1,1,4,5,5,1,2,1,4
26139,1,1,3,1,3,2,8,4,7,9,1,4,1,4
947213,1,1,1,2,2,5,1,4,5,5,1,2,1,4
638664,1,1,1,2,3,2,1,4,5,5,1,2,1,4
982546,1,1,2,3,3,2,8,4,5,5,9,9,1,4
1341520,1,1,2,3,3,4,1,4,5,5,2,1,1,4
84553,1,1,3,3,3,5,1,4,7,9,1,4,1,4
349491,1,1,2,3,2,3,1,4,5,9,2,4,1,4
844987,1,1,2,3,3,1,8,4,5,9,2,4,1,4
1532113,1,1,3,1,3,2,1,4,9,9,3,3,1,4
939132,1,1,3,3,3,1,8,4,5,5,2,1,1,4
1644658,1,1,2,2,1,5,1,4,5,9,1,4,1,3
873339,1,1,1,1,3,1,1,4,5,5,1,2,1,4
1466785,1,1,3,1,3,1,1,4,2,9,1,4,1,4
138001,1,1,3,2,3,5,1,4,7,9,1,4,1,4
409432,1,1,3,3,2,2,8,4,7,9,2,4,1,4
304148,1,1,2,3,3,4,1,4,9,9,3,4,1,4
448762,1,1,2,3,3,2,8,4,5,9,1,4,1,4
1278398,1,1,2,3,3,1,8,4,5,9,2,4,1,4
1499691,1,1,3,1,2,5,1,4,7,7,2,1,1,1
1123527,1,1,2,3,3,2,1,4,5,5,1,2,1,4
1241799,1,0,1,1,3,2,1,4,5,5,1,2,1,4
1246372,1,1,3,2,2,4,1,4,7,9,1,4,1,4
251800,1,1,3,3,2,1,8,4,2,9,1,4,1,4
305861,1,1,2,3,2,2,1,4,9,9,9,4,1,4
1743858,1,1,3,3,3,2,1,4,5,9,1,4,1,4
1579197,1,0,1,2,3,4,1,4,5,9,1,4,1,4
750987,1,1,2,3,3,2,1,4,6,7,1,2,1,4
1032374,1,1,2,3,3,2,1,4,5,9,2,4,1,4
230739,1,1,3,3,3,4,1,4,5,9,1,4,1,4
1253261,1,1,3,3,3,2,1,4,5,5,2,1,1,4
